Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.234.131,38208,192.168.234.2,53,17,2024-04-26 21:18:44,4682.302474975586,1,1,95,530,95.0,95.0,95.0,0.0,530.0,530.0,530.0,0.0,133481.3381536738,427.1402820917562,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,213.5701410458781,213.5701410458781,95,530,312.5,217.5,47306.25,0,0,0,0,0,0,0,1.0,312.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,52033,192.168.234.2,53,17,2024-04-26 21:18:44,4828.691482543945,1,1,70,517,70.0,70.0,70.0,0.0,517.0,517.0,517.0,0.0,121565.02483582679,414.1908853009431,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,207.09544265047154,207.09544265047154,70,517,293.5,223.5,49952.25,0,0,0,0,0,0,0,1.0,293.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,41241,192.168.234.2,53,17,2024-04-26 21:18:44,4559.516906738281,1,1,70,135,70.0,70.0,70.0,0.0,135.0,135.0,135.0,0.0,44960.903576657605,438.64296172348884,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,219.32148086174442,219.32148086174442,70,135,102.5,32.5,1056.25,0,0,0,0,0,0,0,1.0,102.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,36974,192.168.234.2,53,17,2024-04-26 21:18:44,77008.72421264648,1,1,71,226,71.0,71.0,71.0,0.0,226.0,226.0,226.0,0.0,3856.705886723757,25.97108341228119,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,12.985541706140594,12.985541706140594,71,226,148.5,77.5,6006.25,0,0,0,0,0,0,0,1.0,148.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,50251,192.168.234.2,53,17,2024-04-26 21:18:44,76845.16906738281,1,1,71,140,71.0,71.0,71.0,0.0,140.0,140.0,140.0,0.0,2745.7809327608034,26.0263595522351,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,13.01317977611755,13.01317977611755,71,140,105.5,34.5,1190.25,0,0,0,0,0,0,0,1.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,43796,192.168.234.2,53,17,2024-04-26 21:18:44,4818.916320800781,1,1,75,529,75.0,75.0,75.0,0.0,529.0,529.0,529.0,0.0,125339.3833366317,415.03107065109833,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,207.51553532554917,207.51553532554917,75,529,302.0,227.0,51529.0,0,0,0,0,0,0,0,1.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,34712,192.168.234.2,53,17,2024-04-26 21:18:44,4615.068435668945,1,1,75,469,75.0,75.0,75.0,0.0,469.0,469.0,469.0,0.0,117874.74174717156,433.36302112930724,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,216.68151056465362,216.68151056465362,75,469,272.0,197.0,38809.0,0,0,0,0,0,0,0,1.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,46546,192.168.234.2,53,17,2024-04-26 21:18:44,25235.414505004883,1,1,75,427,75.0,75.0,75.0,0.0,427.0,427.0,427.0,0.0,19892.678992866928,79.25370116680051,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,39.626850583400255,39.626850583400255,75,427,251.0,176.0,30976.0,0,0,0,0,0,0,0,1.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,33968,192.168.234.2,53,17,2024-04-26 21:18:44,24378.061294555664,1,1,75,451,75.0,75.0,75.0,0.0,451.0,451.0,451.0,0.0,21576.77731811558,82.04097839587673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,41.02048919793837,41.02048919793837,75,451,263.0,188.0,35344.0,0,0,0,0,0,0,0,1.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
192.168.234.131,37968,192.168.234.2,53,17,2024-04-26 21:18:44,4980.802536010742,1,1,73,306,73.0,73.0,73.0,0.0,306.0,306.0,306.0,0.0,76092.15528217892,401.5417165286487,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,200.77085826432435,200.77085826432435,73,306,189.5,116.5,13572.25,0,0,0,0,0,0,0,1.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
