Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.234.131,46248,192.168.234.2,53,17,2024-03-13 22:33:16,6819.009780883789,1,1,90,331,90.0,90.0,90.0,0.0,331.0,331.0,331.0,0.0,61739.16939967134,293.29771686304673,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,146.64885843152337,146.64885843152337,90,331,210.5,120.5,14520.25,0,0,0,0,0,0,0,1.0,210.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,33194,192.168.234.2,53,17,2024-03-13 22:33:16,5521.7742919921875,1,1,105,187,105.0,105.0,105.0,0.0,187.0,187.0,187.0,0.0,52881.55302245251,362.20241796200344,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,181.10120898100172,181.10120898100172,105,187,146.0,41.0,1681.0,0,0,0,0,0,0,0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,41485,192.168.234.2,53,17,2024-03-13 22:33:16,5489.110946655273,1,1,105,187,105.0,105.0,105.0,0.0,187.0,187.0,187.0,0.0,53196.22846718499,364.35772922729444,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,182.17886461364722,182.17886461364722,105,187,146.0,41.0,1681.0,0,0,0,0,0,0,0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,60774,34.117.237.239,443,6,2024-03-13 22:33:16,302844.0475463867,11,11,1821,2763,717.0,54.0,165.54545454545453,189.7799508695956,1352.0,60.0,251.1818181818182,386.9072752862389,15136.503547416984,72.64465053297855,14421.14512125651,32503.733845896582,147320.27053833008,19.073486328125,302612.5431060791,30261.25431060791,43134.89646090838,147360.80169677734,268.69773864746094,288346.0521697998,28834.60521697998,55318.35219670501,189941.40625,209.0930938720703,0,0,0,0,220,220,36.32232526648927,36.32232526648927,54,1352,208.36363636363637,307.7177788249465,94690.23140495867,1,0,0,0,0,0,0,1.0,208.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,43856,34.120.208.123,443,6,2024-03-13 22:33:16,106461.2865447998,9,9,1446,1351,719.0,54.0,160.66666666666666,205.44423412043798,640.0,60.0,150.11111111111111,184.5056123473059,26272.461011665484,169.07554458704996,6262.428620282341,12156.128403095585,47321.79641723633,50.30632019042969,106461.2865447998,13307.660818099976,15263.192026299741,47585.01052856445,61.98883056640625,91539.38293457031,11442.422866821289,15471.427234256991,47321.79641723633,121.35505676269531,0,0,0,0,180,180,84.53777229352498,84.53777229352498,54,719,155.38888888888889,195.32711562598118,38152.68209876542,1,0,0,0,0,0,0,1.0,155.38888888888889,0.0,0.0,0.0,0.0,0.0,0.0,64240,64239,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,37629,192.168.234.2,53,17,2024-03-13 22:33:16,6752.967834472656,1,1,95,296,95.0,95.0,95.0,0.0,296.0,296.0,296.0,0.0,57900.4682954385,296.1660782375371,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,148.08303911876854,148.08303911876854,95,296,195.5,100.5,10100.25,0,0,0,0,0,0,0,1.0,195.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,32782,192.168.234.2,53,17,2024-03-13 22:33:16,5855.083465576172,1,1,95,176,95.0,95.0,95.0,0.0,176.0,176.0,176.0,0.0,46284.56649564297,341.58351657301085,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,170.79175828650543,170.79175828650543,95,176,135.5,40.5,1640.25,0,0,0,0,0,0,0,1.0,135.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,40259,192.168.234.2,53,17,2024-03-13 22:33:17,4695.415496826172,1,1,105,187,105.0,105.0,105.0,0.0,187.0,187.0,187.0,0.0,62188.319691276534,425.9473951457297,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,212.97369757286484,212.97369757286484,105,187,146.0,41.0,1681.0,0,0,0,0,0,0,0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,34307,192.168.234.2,53,17,2024-03-13 22:33:17,5183.219909667969,1,1,105,187,105.0,105.0,105.0,0.0,187.0,187.0,187.0,0.0,56335.6379024839,385.8605335786568,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,192.9302667893284,192.9302667893284,105,187,146.0,41.0,1681.0,0,0,0,0,0,0,0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
192.168.234.131,47033,192.168.234.2,53,17,2024-03-13 22:33:18,38661.00311279297,1,1,75,272,75.0,75.0,75.0,0.0,272.0,272.0,272.0,0.0,8975.452576531241,51.7317151385086,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,25.8658575692543,25.8658575692543,75,272,173.5,98.5,9702.25,0,0,0,0,0,0,0,1.0,173.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NeedManualLabel
